Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,22597.0,17545.0,5052.0,22.0,317.0,65.0,984.0,4320.0,17.0,3599.0,13.24
2022-06-01,23464.0,18489.0,4975.0,21.0,409.0,64.0,983.0,4337.0,24.0,3281.0,12.1
2022-09-01,24686.0,19261.0,5425.0,22.0,236.0,79.0,998.0,4584.0,24.0,3487.0,12.86
2022-12-01,26700.0,20335.0,6365.0,24.0,260.0,116.0,1137.0,5372.0,24.0,4096.0,15.09
2023-03-01,26606.0,20743.0,5863.0,22.0,453.0,94.0,1027.0,5195.0,23.0,3981.0,14.68
2023-06-01,26296.0,20931.0,5365.0,20.0,344.0,86.0,927.0,4696.0,25.0,3531.0,13.02
2023-09-01,26672.0,20743.0,5929.0,22.0,365.0,156.0,1010.0,5128.0,25.0,3833.0,14.12
2023-12-01,28446.0,21659.0,6787.0,24.0,370.0,140.0,1143.0,5874.0,26.0,4351.0,16.03
2024-03-01,28499.0,22382.0,6117.0,21.0,416.0,171.0,1093.0,5269.0,24.0,3995.0,14.69
2024-06-01,28057.0,22264.0,5793.0,21.0,1103.0,191.0,998.0,5707.0,25.0,4259.0,15.69
2024-09-01,28862.0,22493.0,6369.0,22.0,456.0,131.0,1007.0,5687.0,26.0,4237.0,15.61
2024-12-01,29890.0,23030.0,6860.0,23.0,477.0,166.0,1039.0,6132.0,25.0,4594.0,16.92
2025-03-01,30246.0,23764.0,6482.0,21.0,449.0,156.0,1040.0,5735.0,25.0,4309.0,15.88
